review_id,product_id,rating,review_length,sentiment_score
rev0200,prod_a,5,156,0.8201
rev0201,prod_a,5,110,-0.0119
rev0202,prod_a,4,156,0.0699
rev0203,prod_b,5,150,0.1244
rev0204,prod_c,4,28,0.8747
rev0205,prod_b,2,186,0.2473
rev0206,prod_b,3,165,-0.548
rev0207,prod_d,4,215,-0.2627
rev0208,prod_a,1,167,0.187
rev0209,prod_a,3,166,-0.8779
rev0210,prod_d,4,206,-0.0339
rev0211,prod_a,3,109,-0.1795
rev0212,prod_d,4,108,0.3551
rev0213,prod_d,4,97,0.1972
rev0214,prod_b,4,137,-0.2773
rev0215,prod_c,4,114,-0.4469
rev0216,prod_d,4,202,0.1974
rev0217,prod_b,4,135,-0.2173
rev0218,prod_d,4,163,0.3483
rev0219,prod_c,4,210,0.5855
rev0220,prod_d,2,176,-0.1293
rev0221,prod_d,4,166,-0.0964
rev0222,prod_b,2,114,-0.0201
rev0223,prod_b,4,127,0.0001
rev0224,prod_b,5,104,0.1596
rev0225,prod_b,5,179,0.5722
rev0226,prod_d,5,260,-0.265
rev0227,prod_c,4,190,-0.1435
rev0228,prod_b,5,216,0.2502
rev0229,prod_d,4,152,0.7694
rev0230,prod_d,4,210,-0.001
rev0231,prod_d,1,154,-0.268
rev0232,prod_a,3,48,-0.1045
rev0233,prod_a,2,157,0.9159
rev0234,prod_a,2,148,-0.3206
rev0235,prod_a,4,88,-0.0384
rev0236,prod_b,5,178,0.5271
rev0237,prod_c,3,191,1.0
rev0238,prod_a,4,201,0.6018
rev0239,prod_b,3,117,0.1891
rev0240,prod_a,4,232,-0.0732
rev0241,prod_a,4,141,0.8669
rev0242,prod_c,5,184,0.2275
rev0243,prod_d,3,240,0.6247
rev0244,prod_c,5,209,0.104
rev0245,prod_a,5,112,0.1606
rev0246,prod_c,5,177,-0.2865
rev0247,prod_d,3,200,0.3184
rev0248,prod_b,5,178,0.2093
rev0249,prod_b,4,252,-0.3802
rev0250,prod_b,5,98,0.117
rev0251,prod_c,5,157,-0.2003
rev0252,prod_a,5,118,-0.1702
rev0253,prod_a,4,76,0.3241
rev0254,prod_b,4,147,-0.3417
rev0255,prod_d,5,129,0.0726
rev0256,prod_c,4,155,0.0481
rev0257,prod_b,5,64,-0.2373
rev0258,prod_a,3,90,0.4014
rev0259,prod_d,3,107,-0.3433
rev0260,prod_a,3,135,0.4713
rev0261,prod_b,2,145,0.1959
rev0262,prod_a,4,149,-0.4917
rev0263,prod_b,4,144,0.3207
rev0264,prod_a,1,201,0.1175
rev0265,prod_b,5,206,-0.0166
rev0266,prod_b,3,117,0.1947
rev0267,prod_a,5,175,0.3299
