review_id,product_id,rating,review_length,sentiment_score
rev0000,prod_b,4,138,0.8205
rev0001,prod_a,5,157,1.0
rev0002,prod_b,2,152,0.4287
rev0003,prod_d,5,211,0.9922
rev0004,prod_a,5,124,1.0
rev0005,prod_a,4,144,0.8314
rev0006,prod_c,4,129,0.8302
rev0007,prod_b,4,230,0.7137
rev0008,prod_d,3,209,0.5974
rev0009,prod_d,3,166,0.5892
rev0010,prod_d,5,187,1.0
rev0011,prod_a,3,184,0.589
rev0012,prod_b,5,86,0.9306
rev0013,prod_c,4,220,0.8005
rev0014,prod_d,3,221,0.6255
rev0015,prod_c,4,108,0.7286
rev0016,prod_b,2,88,0.4063
rev0017,prod_c,3,120,0.5489
rev0018,prod_b,3,145,0.5391
rev0019,prod_b,5,192,0.9597
rev0020,prod_b,4,149,0.7089
rev0021,prod_c,3,131,0.5707
rev0022,prod_a,2,153,0.4042
rev0023,prod_d,2,196,0.4312
rev0024,prod_c,2,83,0.3616
rev0025,prod_a,2,165,0.3859
rev0026,prod_c,5,174,0.9588
rev0027,prod_b,5,192,0.9547
rev0028,prod_b,4,118,0.7557
rev0029,prod_d,2,177,0.4088
rev0030,prod_d,4,160,0.8455
rev0031,prod_d,4,192,0.7196
rev0032,prod_c,1,242,0.1665
rev0033,prod_b,5,208,0.9102
rev0034,prod_c,4,75,0.8452
rev0035,prod_a,5,179,0.995
rev0036,prod_a,4,135,0.8484
rev0037,prod_d,4,129,0.8383
rev0038,prod_c,3,212,0.5666
rev0039,prod_b,5,152,0.9701
rev0040,prod_c,4,202,0.822
rev0041,prod_a,2,130,0.3786
rev0042,prod_b,5,136,0.934
rev0043,prod_d,4,140,0.7782
rev0044,prod_c,4,130,0.8187
rev0045,prod_a,5,172,1.0
rev0046,prod_d,4,163,0.7501
rev0047,prod_d,4,118,0.7715
rev0048,prod_a,3,194,0.6192
rev0049,prod_b,5,150,0.9981
rev0050,prod_a,3,172,0.5378
rev0051,prod_c,4,120,0.7376
rev0052,prod_b,4,139,0.7651
rev0053,prod_d,3,262,0.586
rev0054,prod_a,2,140,0.3713
rev0055,prod_b,4,104,0.8012
rev0056,prod_c,5,139,0.9769
rev0057,prod_a,3,193,0.5137
rev0058,prod_c,5,109,0.9421
rev0059,prod_a,5,165,1.0
rev0060,prod_c,3,183,0.5583
rev0061,prod_c,5,166,0.9439
rev0062,prod_d,5,159,0.9184
rev0063,prod_c,4,125,0.7043
rev0064,prod_c,4,110,0.7508
rev0065,prod_a,4,167,0.7146
rev0066,prod_a,5,161,0.9265
rev0067,prod_d,4,154,0.759
rev0068,prod_d,4,154,0.8263
rev0069,prod_c,5,127,0.9151
rev0070,prod_a,4,119,0.7127
rev0071,prod_d,4,150,0.7874
rev0072,prod_c,3,145,0.6455
rev0073,prod_c,5,181,1.0
rev0074,prod_b,5,149,0.9092
rev0075,prod_a,4,152,0.7156
rev0076,prod_a,2,168,0.3779
rev0077,prod_b,4,147,0.724
rev0078,prod_d,5,104,1.0
rev0079,prod_b,2,168,0.3173
rev0080,prod_c,1,149,0.13
rev0081,prod_d,4,149,0.7308
rev0082,prod_b,5,210,0.9325
rev0083,prod_c,3,208,0.5076
rev0084,prod_a,5,180,0.9668
rev0085,prod_d,4,175,0.8001
rev0086,prod_a,3,143,0.5421
rev0087,prod_c,5,190,0.9784
rev0088,prod_b,5,130,0.901
rev0089,prod_d,5,139,0.9509
rev0090,prod_a,5,128,0.9037
rev0091,prod_d,4,231,0.807
rev0092,prod_c,4,102,0.7033
rev0093,prod_d,5,199,0.9071
rev0094,prod_d,3,225,0.5987
