review_id,product_id,rating,review_length,sentiment_score,priority_score
rev0000,prod_b,4,138,0.8205,110.4
rev0001,prod_a,5,157,1.0,157.0
rev0002,prod_b,2,152,0.4287,60.800000000000004
rev0003,prod_d,5,211,0.9922,211.0
rev0004,prod_a,5,124,1.0,124.0
rev0005,prod_a,4,144,0.8314,115.2
rev0006,prod_c,4,129,0.8302,103.2
rev0007,prod_b,4,230,0.7137,184.0
rev0008,prod_d,3,209,0.5974,125.39999999999999
rev0009,prod_d,3,166,0.5892,99.6
rev0010,prod_d,5,187,1.0,187.0
rev0011,prod_a,3,184,0.589,110.39999999999999
rev0012,prod_b,5,86,0.9306,86.0
rev0013,prod_c,4,220,0.8005,176.0
rev0014,prod_d,3,221,0.6255,132.6
rev0015,prod_c,4,108,0.7286,86.4
rev0016,prod_b,2,88,0.4063,35.2
rev0017,prod_c,3,120,0.5489,72.0
rev0018,prod_b,3,145,0.5391,87.0
rev0019,prod_b,5,192,0.9597,192.0
rev0020,prod_b,4,149,0.7089,119.2
rev0021,prod_c,3,131,0.5707,78.6
rev0022,prod_a,2,153,0.4042,61.2
rev0023,prod_d,2,196,0.4312,78.4
rev0024,prod_c,2,83,0.3616,33.2
rev0025,prod_a,2,165,0.3859,66.0
rev0026,prod_c,5,174,0.9588,174.0
rev0027,prod_b,5,192,0.9547,192.0
rev0028,prod_b,4,118,0.7557,94.4
rev0029,prod_d,2,177,0.4088,70.8
rev0030,prod_d,4,160,0.8455,128.0
rev0031,prod_d,4,192,0.7196,153.60000000000002
rev0032,prod_c,1,242,0.1665,48.400000000000006
rev0033,prod_b,5,208,0.9102,208.0
rev0034,prod_c,4,75,0.8452,60.0
rev0035,prod_a,5,179,0.995,179.0
rev0036,prod_a,4,135,0.8484,108.0
rev0037,prod_d,4,129,0.8383,103.2
rev0038,prod_c,3,212,0.5666,127.19999999999999
rev0039,prod_b,5,152,0.9701,152.0
rev0040,prod_c,4,202,0.822,161.60000000000002
rev0041,prod_a,2,130,0.3786,52.0
rev0042,prod_b,5,136,0.934,136.0
rev0043,prod_d,4,140,0.7782,112.0
rev0044,prod_c,4,130,0.8187,104.0
rev0045,prod_a,5,172,1.0,172.0
rev0046,prod_d,4,163,0.7501,130.4
rev0047,prod_d,4,118,0.7715,94.4
rev0048,prod_a,3,194,0.6192,116.39999999999999
rev0049,prod_b,5,150,0.9981,150.0
rev0050,prod_a,3,172,0.5378,103.2
rev0051,prod_c,4,120,0.7376,96.0
rev0052,prod_b,4,139,0.7651,111.2
rev0053,prod_d,3,262,0.586,157.2
rev0054,prod_a,2,140,0.3713,56.0
rev0055,prod_b,4,104,0.8012,83.2
rev0056,prod_c,5,139,0.9769,139.0
rev0057,prod_a,3,193,0.5137,115.8
rev0058,prod_c,5,109,0.9421,109.0
rev0059,prod_a,5,165,1.0,165.0
rev0060,prod_c,3,183,0.5583,109.8
rev0061,prod_c,5,166,0.9439,166.0
rev0062,prod_d,5,159,0.9184,159.0
rev0063,prod_c,4,125,0.7043,100.0
rev0064,prod_c,4,110,0.7508,88.0
rev0065,prod_a,4,167,0.7146,133.6
rev0066,prod_a,5,161,0.9265,161.0
rev0067,prod_d,4,154,0.759,123.2
rev0068,prod_d,4,154,0.8263,123.2
rev0069,prod_c,5,127,0.9151,127.0
rev0070,prod_a,4,119,0.7127,95.2
rev0071,prod_d,4,150,0.7874,120.0
rev0072,prod_c,3,145,0.6455,87.0
rev0073,prod_c,5,181,1.0,181.0
rev0074,prod_b,5,149,0.9092,149.0
rev0075,prod_a,4,152,0.7156,121.60000000000001
rev0076,prod_a,2,168,0.3779,67.2
rev0077,prod_b,4,147,0.724,117.60000000000001
rev0078,prod_d,5,104,1.0,104.0
rev0079,prod_b,2,168,0.3173,67.2
rev0080,prod_c,1,149,0.13,29.8
rev0081,prod_d,4,149,0.7308,119.2
rev0082,prod_b,5,210,0.9325,210.0
rev0083,prod_c,3,208,0.5076,124.8
rev0084,prod_a,5,180,0.9668,180.0
rev0085,prod_d,4,175,0.8001,140.0
rev0086,prod_a,3,143,0.5421,85.8
rev0087,prod_c,5,190,0.9784,190.0
rev0088,prod_b,5,130,0.901,130.0
rev0089,prod_d,5,139,0.9509,139.0
rev0090,prod_a,5,128,0.9037,128.0
rev0091,prod_d,4,231,0.807,184.8
rev0092,prod_c,4,102,0.7033,81.60000000000001
rev0093,prod_d,5,199,0.9071,199.0
rev0094,prod_d,3,225,0.5987,135.0
rev0095,prod_b,2,208,0.3945,83.2
rev0096,prod_b,2,140,0.3021,56.0
rev0097,prod_c,4,213,0.7242,170.4
rev0098,prod_a,4,134,0.7921,107.2
rev0099,prod_b,4,217,0.7017,173.60000000000002
rev0100,prod_b,1,124,0.1749,24.8
rev0101,prod_d,5,121,1.0,121.0
rev0102,prod_a,4,149,0.7539,119.2
rev0103,prod_d,3,138,0.5829,82.8
rev0104,prod_a,3,118,0.6147,70.8
rev0105,prod_c,5,142,1.0,142.0
rev0106,prod_b,3,134,0.5735,80.39999999999999
rev0107,prod_b,4,225,0.8299,180.0
rev0108,prod_c,5,52,1.0,52.0
rev0109,prod_b,3,98,0.6479,58.8
rev0110,prod_a,5,185,0.9868,185.0
rev0111,prod_a,5,189,1.0,189.0
rev0112,prod_b,4,144,0.8459,115.2
rev0113,prod_a,5,180,0.9502,180.0
rev0114,prod_c,4,218,0.8351,174.4
rev0115,prod_b,5,214,0.943,214.0
rev0116,prod_c,5,165,0.967,165.0
rev0117,prod_a,3,134,0.6423,80.39999999999999
rev0118,prod_d,4,163,0.7839,130.4
rev0119,prod_b,1,221,0.122,44.2
rev0120,prod_b,5,155,0.9839,155.0
rev0121,prod_a,2,171,0.3254,68.4
rev0122,prod_b,3,155,0.6391,93.0
rev0123,prod_b,4,158,0.7383,126.4
rev0124,prod_a,5,182,0.9507,182.0
rev0125,prod_a,4,190,0.7783,152.0
rev0126,prod_b,5,167,1.0,167.0
rev0127,prod_b,2,192,0.4419,76.80000000000001
rev0128,prod_a,5,159,0.9036,159.0
rev0129,prod_b,5,218,1.0,218.0
rev0130,prod_d,2,186,0.338,74.4
